﻿Title:,"Table 22 - Standard occupational classification of graduates entering work in the UK by provider"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 22
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Work type marker,All 
,Academic year,2021/22 
Search:,


"UKPRN","Provider Name","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
"10008071","AA School of Architecture","0","15","20","35","0","0","0","0","0","0","0","0","0","35"
"10007783","The University of Aberdeen","40","810","215","1,060","75","15","55","145","45","5","45","100","5","1,310"
"10000055","Abingdon and Witney College","0","0","0","5","0","0","0","0","0","0","0","0","0","5"
"10007849","Abertay University","15","210","95","320","35","10","30","75","30","5","30","65","0","465"
"10007856","Aberystwyth University","25","250","160","430","70","20","45","130","40","5","40","85","0","655"
"10067853","ACM Guildford Limited","5","5","20","30","5","5","0","10","5","0","5","15","0","55"
"10004927","Activate Learning","5","20","25","45","0","10","10","20","5","5","5","15","0","80"
"10000163","AECC University College","5","65","0","70","0","0","0","0","0","0","0","5","0","80"
"10032036","Amity Global Education","0","0","0","0","5","0","0","5","0","0","0","0","0","10"
"10000291","Anglia Ruskin University","215","1,195","450","1,865","185","35","250","470","85","30","90","205","20","2,555"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","5","5","0","5"
"10062759","Applied Business Academy Limited","5","10","5","20","5","0","15","15","5","5","10","15","0","50"
"10005451","Arden University","55","90","65","210","30","10","60","100","10","10","10","35","10","355"
"10000381","Arts Educational Schools","0","5","25","30","5","0","5","10","0","0","5","5","0","45"
"10008899","The Ashridge (Bonar Law Memorial) Trust","10","5","0","15","0","0","0","0","0","0","0","0","0","15"
"10003212","Hult International Business School Ltd","10","15","20","50","0","0","0","0","0","0","0","0","0","55"
"10000415","Askham Bryan College","5","5","20","35","0","5","15","20","10","0","5","15","0","70"
"10007759","Aston University","115","705","310","1,130","90","5","35","130","50","10","20","80","10","1,350"
"10007857","Bangor University","30","500","150","675","60","30","75","165","50","10","50","110","5","955"
"10000536","Barnsley College","0","10","25","35","0","0","5","5","5","0","5","10","0","50"
"10000533","Barnet & Southgate College","0","0","5","10","0","0","5","5","0","0","0","5","0","20"
"10000560","Basingstoke College of Technology","0","0","0","5","0","0","0","0","0","0","0","0","0","5"
"10001465","Bath College","0","10","5","15","0","5","0","5","0","0","0","0","0","20"
"10000571","Bath Spa University","40","480","270","790","70","20","70","165","65","5","55","125","0","1,080"
"10007850","The University of Bath","70","1,280","395","1,745","50","5","30","85","20","5","30","55","10","1,900"
"10036456","Backstage Academy (Training) Ltd","0","0","15","15","5","5","0","10","0","0","0","0","0","25"
"10000610","Bedford College","10","15","15","40","0","5","5","10","5","0","5","10","0","60"
"10007152","University of Bedfordshire","60","590","195","845","100","15","165","275","45","30","70","145","10","1,275"
"10005343","Queen's University Belfast","65","1,765","380","2,210","100","20","75","195","60","5","50","120","10","2,535"
"10020680","Belfast Metropolitan College","15","100","80","195","25","15","20","60","25","5","20","45","0","305"
"10037544","BIMM University","25","75","150","250","40","20","20","80","35","5","75","115","0","445"
