Provider name,Subject area of degree,Employment and further study,Unknown pattern of further study,Part-time further study,Voluntary or unpaid work,Unknown pattern of employment,"Other including travel, caring for someone or retired",Total with known outcomes,Full-time employment,Unemployed,Part-time employment,Full-time further study
AA School of Architecture,"13 Architecture, building and planning",0.08502772643253234,0.0,0.0,0.0,0.0,0.038817005545286505,5410,0.6746765249537893,0.03512014787430684,0.11460258780036968,0.0166358595194085
The University of Aberdeen,01 Medicine and dentistry,0.11424638678596008,0.0,0.0,0.0,0.0,0.012388162422573986,7265,0.8059187887130076,0.0055058499655884375,0.03922918100481762,0.006882312456985547
The University of Aberdeen,02 Subjects allied to medicine,0.1362847222222222,0.0,0.0,0.004340277777777778,0.0,0.06770833333333333,5760,0.3689236111111111,0.05295138888888889,0.13194444444444445,0.2074652777777778
The University of Aberdeen,03 Biological and sport sciences,0.10810810810810811,0.0,0.0012012012012012011,0.021621621621621623,0.0,0.05045045045045045,8325,0.4306306306306306,0.07087087087087086,0.0972972972972973,0.203003003003003
The University of Aberdeen,04 Psychology,0.19148936170212766,0.0,0.0,0.0017730496453900709,0.0,0.05319148936170213,5640,0.37677304964539005,0.05673758865248227,0.10017730496453901,0.19326241134751773
The University of Aberdeen,"06 Agriculture, food and related studies",0.0,0.0,0.0,0.0,0.0,0.0,240,0.4583333333333333,0.0,0.0,0.16666666666666666
The University of Aberdeen,07 Physical sciences,0.09570957095709572,0.0,0.0,0.006600660066006601,0.0,0.0594059405940594,3030,0.5726072607260726,0.0462046204620462,0.0297029702970297,0.14521452145214522
The University of Aberdeen,09 Mathematical sciences,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,760,0.3815789473684211,0.013157894736842105,0.02631578947368421,0.18421052631578946
The University of Aberdeen,10 Engineering and technology,0.07374005305039788,0.0,0.002122015915119363,0.0,0.0010610079575596816,0.01750663129973475,9425,0.6907161803713527,0.07427055702917772,0.03819628647214854,0.07108753315649867
The University of Aberdeen,11 Computing,0.09592326139088729,0.0,0.0,0.0,0.0,0.0,2085,0.6546762589928058,0.07673860911270983,0.05755395683453238,0.047961630695443645
The University of Aberdeen,"13 Architecture, building and planning",0.036036036036036036,0.0,0.0,0.0,0.0,0.0,555,0.7837837837837838,0.0,0.0,0.0
The University of Aberdeen,"26 Geography, earth and environmental studies (natural sciences)",0.10418445772843724,0.0,0.0,0.006831767719897523,0.0,0.026473099914602904,5855,0.5738684884713919,0.07429547395388557,0.0631938514090521,0.1161400512382579
The University of Aberdeen,15 Social sciences,0.13828238719068414,0.0,0.0019408054342552159,0.018437651625424552,0.0019408054342552159,0.049005337214944204,10305,0.4847161572052402,0.07617661329451722,0.08927704997573993,0.13537117903930132
The University of Aberdeen,16 Law,0.10838562464346833,0.0,0.0,0.007986309184255563,0.0,0.03080433542498574,8765,0.6326297775242442,0.05704506560182544,0.06959498003422704,0.0764403879064461
The University of Aberdeen,17 Business and management,0.11975717439293598,0.0,0.0011037527593818985,0.004415011037527594,0.006622516556291391,0.0358719646799117,9060,0.6324503311258278,0.07339955849889625,0.056291390728476824,0.05518763796909492
The University of Aberdeen,19 Language and area studies,0.13948256467941508,0.0,0.0,0.013498312710911136,0.0,0.047244094488188976,4445,0.3914510686164229,0.08098987626546682,0.16985376827896512,0.12823397075365578
The University of Aberdeen,"20 Historical, philosophical and religious studies",0.14634146341463414,0.0,0.0040650406504065045,0.03048780487804878,0.0,0.09451219512195122,4920,0.40853658536585363,0.05894308943089431,0.11483739837398374,0.12804878048780488
The University of Aberdeen,22 Education and teaching,0.054430799867241954,0.0,0.0,0.0,0.0006637902422834385,0.04414205111184866,15065,0.6959840690341852,0.05509459010952539,0.12811151676070362,0.005310321938267508
The University of Aberdeen,"24 Media, journalism and communications",0.0,0.0,0.0,0.06896551724137931,0.0,0.0,580,0.4827586206896552,0.06896551724137931,0.13793103448275862,0.0
The University of Aberdeen,"25 Design, and creative and performing arts",0.1553398058252427,0.0,0.0,0.0,0.0,0.025889967637540454,1545,0.3818770226537217,0.045307443365695796,0.22653721682847897,0.12944983818770225
The University of Aberdeen,"26 Geography, earth and environmental studies (social sciences)",0.0547945205479452,0.0,0.0,0.0,0.0,0.0,730,0.5068493150684932,0.0136986301369863,0.0821917808219178,0.1095890410958904
Abingdon and Witney College,10 Engineering and technology,0.1,0.0,0.0,0.0,0.0,0.0,400,0.7,0.0,0.0,0.0
Abertay University,02 Subjects allied to medicine,0.11806797853309481,0.0,0.0,0.014311270125223614,0.0,0.07155635062611806,2795,0.43828264758497315,0.005366726296958855,0.2808586762075134,0.014311270125223614
Abertay University,03 Biological and sport sciences,0.15172413793103448,0.0,0.0,0.013793103448275862,0.0,0.05172413793103448,2900,0.4517241379310345,0.013793103448275862,0.15344827586206897,0.07931034482758621
Abertay University,04 Psychology,0.1935483870967742,0.0,0.0,0.024193548387096774,0.0,0.08064516129032258,2480,0.3467741935483871,0.0846774193548387,0.11693548387096774,0.12903225806451613
Abertay University,"06 Agriculture, food and related studies",0.08333333333333333,0.0,0.0,0.0,0.0,0.029166666666666667,1200,0.6166666666666667,0.0,0.1,0.05
Abertay University,07 Physical sciences,0.0,0.0,0.0,0.0,0.0,0.0,530,0.6037735849056604,0.03773584905660377,0.11320754716981132,0.07547169811320754
Abertay University,10 Engineering and technology,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,1020,0.7745098039215687,0.0196078431372549,0.0196078431372549,0.0
Abertay University,11 Computing,0.08849557522123894,0.0,0.0,0.0029498525073746312,0.0,0.02359882005899705,6780,0.6246312684365781,0.0700589970501475,0.13200589970501475,0.022861356932153392
Abertay University,15 Social sciences,0.147239263803681,0.0,0.0,0.0,0.0,0.032719836400818,2445,0.49079754601226994,0.049079754601226995,0.12269938650306748,0.09815950920245399
Abertay University,16 Law,0.10666666666666667,0.0,0.0,0.0,0.0,0.0,750,0.6666666666666666,0.02666666666666667,0.05333333333333334,0.10666666666666667
Abertay University,17 Business and management,0.1222707423580786,0.0,0.0,0.0,0.0,0.01455604075691412,3435,0.5749636098981077,0.05967976710334789,0.06986899563318777,0.06986899563318777
Abertay University,22 Education and teaching,0.0,0.0,0.0,0.0,0.0,0.0,120,0.6666666666666666,0.0,0.0,0.0
Abertay University,"25 Design, and creative and performing arts",0.10364145658263306,0.0,0.0,0.011204481792717087,0.0,0.05322128851540616,3570,0.5014005602240896,0.0700280112044818,0.1792717086834734,0.03361344537815126
Aberystwyth University,03 Biological and sport sciences,0.11092715231788079,0.0,0.0033112582781456954,0.016556291390728478,0.0,0.043874172185430466,6040,0.4519867549668874,0.06291390728476821,0.0836092715231788,0.2052980132450331
Aberystwyth University,04 Psychology,0.15328467153284672,0.0,0.0,0.0072992700729927005,0.0,0.058394160583941604,2740,0.44343065693430656,0.07664233576642336,0.072992700729927,0.13503649635036497
Aberystwyth University,05 Veterinary sciences,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,280,0.2857142857142857,0.0,0.0,0.42857142857142855
Aberystwyth University,"06 Agriculture, food and related studies",0.09278350515463918,0.0,0.0,0.023564064801178203,0.0,0.039764359351988215,3395,0.5832106038291606,0.03829160530191458,0.10309278350515463,0.10014727540500737
Aberystwyth University,07 Physical sciences,0.0794044665012407,0.0,0.0,0.0,0.0,0.02977667493796526,2015,0.44168734491315137,0.06947890818858561,0.10918114143920596,0.21836228287841192
Aberystwyth University,09 Mathematical sciences,0.2048780487804878,0.0,0.0,0.0,0.0,0.03902439024390244,1025,0.4926829268292683,0.11707317073170732,0.01951219512195122,0.1951219512195122
Aberystwyth University,10 Engineering and technology,0.0,0.0,0.0,0.0,0.0,0.0,390,0.6410256410256411,0.0,0.05128205128205128,0.0
Aberystwyth University,11 Computing,0.10852713178294573,0.0,0.0,0.0,0.0,0.041343669250646,3870,0.6124031007751938,0.046511627906976744,0.04392764857881137,0.1111111111111111
Aberystwyth University,"26 Geography, earth and environmental studies (natural sciences)",0.0949367088607595,0.0,0.0,0.0,0.0,0.04430379746835443,3160,0.5395569620253164,0.0379746835443038,0.0759493670886076,0.16455696202531644
Aberystwyth University,15 Social sciences,0.14135021097046413,0.0,0.0,0.008438818565400843,0.0,0.05907172995780591,4740,0.41983122362869196,0.08016877637130802,0.10970464135021098,0.15611814345991562
Aberystwyth University,16 Law,0.188470066518847,0.0,0.0,0.008869179600886918,0.0,0.04656319290465632,2255,0.35920177383592017,0.08869179600886919,0.026607538802660754,0.19068736141906872
Aberystwyth University,17 Business and management,0.14839797639123103,0.0,0.0,0.0,0.0,0.047217537942664416,2965,0.5396290050590219,0.06913996627318718,0.07082630691399663,0.08768971332209106
Aberystwyth University,19 Language and area studies,0.16585365853658537,0.0,0.0,0.004878048780487805,0.0,0.04878048780487805,4100,0.3719512195121951,0.07317073170731707,0.18048780487804877,0.11951219512195121
Aberystwyth University,"20 Historical, philosophical and religious studies",0.13036020583190394,0.0,0.0,0.017152658662092625,0.0,0.07204116638078903,2915,0.313893653516295,0.09262435677530018,0.14408233276157806,0.22984562607204118
Aberystwyth University,22 Education and teaching,0.09246088193456614,0.0,0.0,0.0,0.0,0.06116642958748222,3515,0.6187766714082503,0.017069701280227598,0.1507823613086771,0.03982930298719772
Aberystwyth University,"24 Media, journalism and communications",0.08375209380234507,0.0,0.0,0.005025125628140704,0.0,0.01675041876046901,2985,0.5728643216080402,0.038525963149078725,0.19262981574539365,0.01675041876046901
Aberystwyth University,"25 Design, and creative and performing arts",0.09916201117318436,0.0,0.0111731843575419,0.00558659217877095,0.0,0.07541899441340782,3580,0.38687150837988826,0.0893854748603352,0.2569832402234637,0.0670391061452514
Aberystwyth University,"26 Geography, earth and environmental studies (social sciences)",0.14285714285714285,0.0,0.0,0.0,0.0,0.03571428571428571,1400,0.45714285714285713,0.06428571428571428,0.05,0.2
Accrington and Rossendale College,02 Subjects allied to medicine,0.0,0.0,0.0,0.14285714285714285,0.0,0.21428571428571427,280,0.42857142857142855,0.0,0.21428571428571427,0.0
Accrington and Rossendale College,10 Engineering and technology,0.0,0.0,0.0,0.0,0.0,0.0,90,0.8888888888888888,0.0,0.0,0.0
Accrington and Rossendale College,"13 Architecture, building and planning",0.0,0.0,0.0,0.0,0.0,0.0,40,1.0,0.0,0.0,0.0
Accrington and Rossendale College,15 Social sciences,0.0,0.0,0.0,0.0,0.0,0.0,80,1.0,0.0,0.0,0.0
Accrington and Rossendale College,22 Education and teaching,0.0,0.0,0.0,0.0,0.0,0.0,70,0.7142857142857143,0.0,0.0,0.0
Accrington and Rossendale College,"25 Design, and creative and performing arts",0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0
Academy of Live and Recorded Arts,"25 Design, and creative and performing arts",0.0380952380952381,0.0,0.0,0.01904761904761905,0.0,0.01904761904761905,1050,0.3333333333333333,0.0380952380952381,0.4095238095238095,0.0
Activate Learning,02 Subjects allied to medicine,0.125,0.0,0.0,0.0,0.0,0.0,320,0.25,0.0,0.25,0.0
Activate Learning,10 Engineering and technology,0.18018018018018017,0.0,0.0,0.0,0.0,0.0,1110,0.8378378378378378,0.0,0.0,0.0
Activate Learning,11 Computing,0.0,0.0,0.0,0.0,0.0,0.0,80,0.0,0.0,0.0,0.0
Activate Learning,"13 Architecture, building and planning",0.0,0.0,0.0,0.0,0.0,0.0,240,0.9583333333333334,0.0,0.0,0.0
Activate Learning,22 Education and teaching,0.0,0.0,0.0,0.0,0.0,0.0,80,1.0,0.0,0.0,0.0
Activate Learning,"25 Design, and creative and performing arts",0.0,0.0,0.0,0.0,0.0,0.0,100,0.4,0.0,0.2,0.0
AECC University College,02 Subjects allied to medicine,0.10845070422535211,0.0,0.0,0.0,0.0,0.030985915492957747,3550,0.6183098591549295,0.0,0.17746478873239438,0.0
Anglia Ruskin University,02 Subjects allied to medicine,0.11733760292772187,0.0,0.0052607502287282705,0.0020585544373284536,0.0052607502287282705,0.0572964318389753,43720,0.660224153705398,0.019098810612991766,0.10166971637694419,0.030420860018298263
Anglia Ruskin University,03 Biological and sport sciences,0.12943962115232832,0.0,0.006314127861089187,0.012628255722178374,0.0,0.056827150749802685,6335,0.500394632991318,0.06787687450670876,0.11365430149960537,0.07734806629834254
Anglia Ruskin University,04 Psychology,0.1654275092936803,0.0,0.0037174721189591076,0.0055762081784386614,0.0,0.05855018587360595,5380,0.4628252788104089,0.06598513011152417,0.13940520446096655,0.06970260223048327
Anglia Ruskin University,05 Veterinary sciences,0.0,0.0,0.0,0.0,0.0,0.0,440,0.9090909090909091,0.0,0.0,0.0
Anglia Ruskin University,"06 Agriculture, food and related studies",0.08333333333333333,0.0,0.0,0.0,0.0,0.0,480,0.5416666666666666,0.0,0.16666666666666666,0.0
Anglia Ruskin University,07 Physical sciences,0.10460251046025104,0.0,0.0,0.0,0.0,0.0502092050209205,2390,0.5794979079497908,0.07531380753138076,0.08786610878661087,0.06694560669456066
Anglia Ruskin University,10 Engineering and technology,0.09903713892709766,0.0,0.0,0.0,0.0,0.027510316368638238,3635,0.6176066024759285,0.10729023383768914,0.04676753782668501,0.04401650618982118
Anglia Ruskin University,11 Computing,0.0832579185520362,0.0,0.0036199095022624436,0.0036199095022624436,0.0,0.03257918552036199,5525,0.5484162895927602,0.10407239819004525,0.1520361990950226,0.05067873303167421
Anglia Ruskin University,"13 Architecture, building and planning",0.08197831978319783,0.0,0.0,0.0,0.0027100271002710027,0.014905149051490514,7380,0.7886178861788617,0.027777777777777776,0.04539295392953929,0.008130081300813009
Anglia Ruskin University,15 Social sciences,0.11939080772368779,0.0,0.0021756867011150393,0.009790590155017678,0.005439216752787599,0.08566766385640467,18385,0.5499048137068262,0.05004079412564591,0.12020669023660593,0.05303236333967909
Anglia Ruskin University,16 Law,0.1502958579881657,0.0,0.01893491124260355,0.009467455621301775,0.0,0.09230769230769231,4225,0.43550295857988164,0.0757396449704142,0.09230769230769231,0.07337278106508875
Anglia Ruskin University,17 Business and management,0.11069418386491557,0.0,0.004002501563477173,0.007754846779237023,0.008755472170106316,0.08780487804878048,39975,0.5609756097560976,0.07629768605378362,0.11282051282051282,0.029018136335209506
Anglia Ruskin University,19 Language and area studies,0.13679245283018868,0.0,0.0,0.025157232704402517,0.0,0.040880503144654086,3180,0.43553459119496857,0.04559748427672956,0.1540880503144654,0.09433962264150944
Anglia Ruskin University,"20 Historical, philosophical and religious studies",0.11387900355871886,0.0,0.0,0.0071174377224199285,0.0,0.060498220640569395,1405,0.4234875444839858,0.042704626334519574,0.15658362989323843,0.12811387900355872
Anglia Ruskin University,22 Education and teaching,0.1393791844187462,0.0,0.002434570906877663,0.0012172854534388314,0.0,0.03773584905660377,8215,0.5776019476567255,0.02251978088861838,0.1199026171637249,0.07060255629945222
Anglia Ruskin University,"24 Media, journalism and communications",0.06832298136645963,0.0,0.0,0.0,0.0,0.0,1610,0.5,0.11801242236024845,0.2111801242236025,0.024844720496894408
Anglia Ruskin University,"25 Design, and creative and performing arts",0.09603340292275574,0.0,0.0,0.015657620041753653,0.006263048016701462,0.0652400835073069,9580,0.4279749478079332,0.0709812108559499,0.30062630480167013,0.027139874739039668
Apex College,17 Business and management,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,660,0.18181818181818182,0.06060606060606061,0.30303030303030304,0.0
Arden University,04 Psychology,0.18181818181818182,0.0,0.0,0.0,0.0,0.10658307210031348,1595,0.4012539184952978,0.0219435736677116,0.16614420062695925,0.025078369905956112
Arden University,11 Computing,0.1724137931034483,0.0,0.0,0.0,0.0,0.024630541871921183,2030,0.5862068965517241,0.07635467980295567,0.06896551724137931,0.019704433497536946
Arden University,15 Social sciences,0.13623188405797101,0.0,0.011594202898550725,0.0,0.005797101449275362,0.1391304347826087,3450,0.3681159420289855,0.10144927536231885,0.17391304347826086,0.04057971014492753
Arden University,16 Law,0.12738853503184713,0.0,0.0,0.025477707006369428,0.0,0.03821656050955414,785,0.2802547770700637,0.025477707006369428,0.16560509554140126,0.025477707006369428
Arden University,17 Business and management,0.1240506329113924,0.0,0.012658227848101266,0.0,0.007594936708860759,0.10316455696202531,7900,0.5050632911392405,0.06772151898734177,0.14936708860759493,0.02278481012658228
Arden University,"25 Design, and creative and performing arts",0.2,0.0,0.0,0.0,0.0,0.0,200,0.5,0.0,0.1,0.0
Arts Educational Schools,"25 Design, and creative and performing arts",0.09620991253644315,0.0,0.0,0.0,0.0,0.01749271137026239,3430,0.3877551020408163,0.04664723032069971,0.3323615160349854,0.09912536443148688
Askham Bryan College,03 Biological and sport sciences,0.0,0.0,0.0,0.0,0.0,0.0,550,0.6363636363636364,0.0,0.18181818181818182,0.0
Askham Bryan College,05 Veterinary sciences,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,760,0.8157894736842105,0.0,0.0,0.0
Askham Bryan College,"06 Agriculture, food and related studies",0.08949416342412451,0.0,0.0,0.054474708171206226,0.0,0.054474708171206226,2570,0.490272373540856,0.07003891050583658,0.19455252918287938,0.01556420233463035
Askham Bryan College,17 Business and management,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0
Aston University,02 Subjects allied to medicine,0.16289893617021275,0.0,0.006648936170212766,0.0013297872340425532,0.0006648936170212766,0.05352393617021277,15040,0.5714760638297872,0.0425531914893617,0.09474734042553191,0.05053191489361702
Aston University,03 Biological and sport sciences,0.09786476868327403,0.0,0.0,0.0,0.0,0.028469750889679714,2810,0.46619217081850534,0.06583629893238434,0.06761565836298933,0.16548042704626334
Aston University,04 Psychology,0.1318181818181818,0.0,0.0,0.025454545454545455,0.0,0.05272727272727273,5500,0.5336363636363637,0.057272727272727274,0.10636363636363637,0.09272727272727273
Aston University,07 Physical sciences,0.08588957055214724,0.0,0.0,0.0,0.0,0.012269938650306749,815,0.5337423312883436,0.006134969325153374,0.012269938650306749,0.09815950920245399
Aston University,09 Mathematical sciences,0.1289308176100629,0.0,0.0,0.0,0.0,0.012578616352201259,1590,0.5471698113207547,0.0880503144654088,0.06289308176100629,0.09433962264150944
Aston University,10 Engineering and technology,0.12119914346895075,0.0,0.0,0.003854389721627409,0.0,0.03511777301927195,11675,0.6449678800856531,0.058244111349036405,0.061241970021413274,0.059957173447537475
Aston University,11 Computing,0.08130081300813008,0.0,0.0,0.0,0.0,0.02032520325203252,6150,0.7634146341463415,0.044715447154471545,0.04227642276422764,0.03333333333333333
Aston University,"13 Architecture, building and planning",0.0,0.0,0.0,0.0,0.0,0.0,320,0.875,0.0,0.0,0.0
Aston University,15 Social sciences,0.14322916666666666,0.0,0.005208333333333333,0.0026041666666666665,0.0,0.037760416666666664,7680,0.611328125,0.043619791666666664,0.07747395833333333,0.07096354166666667
Aston University,16 Law,0.17027863777089783,0.0,0.0,0.0,0.0,0.03715170278637771,3230,0.47987616099071206,0.08204334365325078,0.10526315789473684,0.09287925696594428
Aston University,17 Business and management,0.11392632524707996,0.0,0.0025157232704402514,0.00862533692722372,0.003953279424977538,0.0380952380952381,27825,0.6880503144654088,0.052830188679245285,0.05480682839173405,0.03288409703504043
Aston University,19 Language and area studies,0.13360323886639677,0.0,0.0,0.0,0.0,0.03643724696356275,2470,0.5323886639676113,0.06275303643724696,0.11133603238866396,0.08299595141700405
Aston University,22 Education and teaching,0.1791044776119403,0.0,0.0,0.0,0.0,0.03482587064676617,2010,0.6019900497512438,0.0,0.04975124378109453,0.01990049751243781
Aylesbury College,11 Computing,0.0,0.0,0.0,0.0,0.0,0.0,60,0.0,0.0,0.6666666666666666,0.0
Aylesbury College,"25 Design, and creative and performing arts",0.0,0.0,0.0,0.0,0.0,0.0,360,0.4444444444444444,0.0,0.5,0.0
Bangor University,01 Medicine and dentistry,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,770,0.474025974025974,0.0,0.05194805194805195,0.18181818181818182
Bangor University,02 Subjects allied to medicine,0.09978768577494693,0.0,0.0,0.0010615711252653928,0.0,0.04617834394904458,9420,0.6841825902335457,0.013800424628450107,0.09129511677282377,0.0435244161358811
Bangor University,03 Biological and sport sciences,0.11790780141843972,0.0,0.0070921985815602835,0.04343971631205674,0.0017730496453900709,0.04964539007092199,11280,0.42819148936170215,0.06028368794326241,0.12367021276595745,0.15691489361702127
Bangor University,04 Psychology,0.14128806789815276,0.0,0.00399400898652022,0.020968547179231155,0.0029955067398901645,0.06290564153769346,10015,0.43734398402396407,0.06240639041437843,0.1183225162256615,0.14777833250124814
Bangor University,"06 Agriculture, food and related studies",0.08433734939759036,0.0,0.0,0.0,0.0,0.060240963855421686,2490,0.5642570281124498,0.01606425702811245,0.14457831325301204,0.050200803212851405
Bangor University,07 Physical sciences,0.06091370558375635,0.0,0.0,0.0,0.0,0.01015228426395939,985,0.5736040609137056,0.02030456852791878,0.0,0.1218274111675127
Bangor University,10 Engineering and technology,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,1170,0.6111111111111112,0.08547008547008547,0.03418803418803419,0.15384615384615385
Bangor University,11 Computing,0.1134020618556701,0.0,0.0,0.0,0.0,0.015463917525773196,1940,0.5592783505154639,0.05154639175257732,0.09278350515463918,0.09278350515463918
Bangor University,"26 Geography, earth and environmental studies (natural sciences)",0.0924170616113744,0.0,0.0,0.02132701421800948,0.0,0.054502369668246446,4220,0.5485781990521327,0.052132701421800945,0.0924170616113744,0.12085308056872038
Bangor University,15 Social sciences,0.13082039911308205,0.0,0.0,0.004434589800443459,0.0,0.08980044345898004,4510,0.4811529933481153,0.057649667405764965,0.13082039911308205,0.07538802660753881
Bangor University,16 Law,0.19172932330827067,0.0,0.007518796992481203,0.007518796992481203,0.0,0.06390977443609022,2660,0.45112781954887216,0.08270676691729323,0.03759398496240601,0.13345864661654136
Bangor University,17 Business and management,0.11155913978494623,0.0,0.010752688172043012,0.006720430107526882,0.008064516129032258,0.0396505376344086,7440,0.5584677419354839,0.09946236559139784,0.05443548387096774,0.09341397849462366
Bangor University,19 Language and area studies,0.16793893129770993,0.0,0.0,0.015267175572519083,0.0,0.060114503816793896,5240,0.37404580152671757,0.06774809160305344,0.15362595419847327,0.15076335877862596
Bangor University,"20 Historical, philosophical and religious studies",0.13993174061433447,0.0,0.0,0.030716723549488054,0.0,0.042662116040955635,2930,0.34812286689419797,0.06143344709897611,0.14675767918088736,0.17918088737201365
Bangor University,22 Education and teaching,0.06196377502383222,0.0,0.0,0.0,0.0,0.04575786463298379,5245,0.6825548141086749,0.028598665395614873,0.12678741658722592,0.022878932316491896
Bangor University,"24 Media, journalism and communications",0.07547169811320754,0.0,0.0,0.0,0.0,0.0,1060,0.49056603773584906,0.05660377358490566,0.1792452830188679,0.05660377358490566
Bangor University,"25 Design, and creative and performing arts",0.17142857142857143,0.0,0.0,0.0,0.0,0.02040816326530612,2450,0.35714285714285715,0.04897959183673469,0.1653061224489796,0.1346938775510204
Bangor University,"26 Geography, earth and environmental studies (social sciences)",0.1111111111111111,0.0,0.0,0.0,0.0,0.0,540,0.4074074074074074,0.0,0.0,0.14814814814814814
Barking and Dagenham College,10 Engineering and technology,0.0,0.0,0.0,0.0,0.0,0.0,100,1.0,0.0,0.0,0.0
Barking and Dagenham College,11 Computing,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,140,0.0,0.0,0.2857142857142857,0.0
Barking and Dagenham College,"13 Architecture, building and planning",0.0,0.0,0.0,0.0,0.0,0.0,80,1.0,0.0,0.0,0.0
Barking and Dagenham College,17 Business and management,0.0,0.0,0.0,0.0,0.0,0.0,160,0.25,0.0,0.125,0.25
Barking and Dagenham College,"25 Design, and creative and performing arts",0.0,0.0,0.0,0.0,0.0,0.125,320,0.1875,0.0,0.375,0.0
Barnfield College,02 Subjects allied to medicine,0.0,0.0,0.0,0.0,0.0,0.0,80,0.75,0.0,0.25,0.0
Barnfield College,15 Social sciences,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0
Barnfield College,"25 Design, and creative and performing arts",0.0,0.0,0.0,0.0,0.0,0.5,80,0.0,0.0,0.0,0.0
Barnsley College,02 Subjects allied to medicine,0.125,0.0,0.0,0.0,0.0,0.0,160,0.25,0.0,0.0,0.0
