Provider name,Subject area of degree,Employment and further study,Unknown pattern of further study,Part-time further study,Voluntary or unpaid work,Unknown pattern of employment,"Other including travel, caring for someone or retired",Total with known outcomes,Full-time employment,Total,Unemployed,Non-respondents,Part-time employment,Full-time further study
AA School of Architecture,"13 Architecture, building and planning",460,0,0,0,0,210,5410,3650,13790,190,8420,620,90
The University of Aberdeen,01 Medicine and dentistry,830,0,0,0,0,90,7265,5855,12880,40,5620,285,50
The University of Aberdeen,02 Subjects allied to medicine,785,0,0,25,0,390,5760,2125,10910,305,5130,760,1195
The University of Aberdeen,03 Biological and sport sciences,900,0,10,180,0,420,8325,3585,14260,590,5900,810,1690
The University of Aberdeen,04 Psychology,1080,0,0,10,0,300,5640,2125,10810,320,5140,565,1090
The University of Aberdeen,"06 Agriculture, food and related studies",0,0,0,0,0,0,240,110,455,0,170,0,40
The University of Aberdeen,07 Physical sciences,290,0,0,20,0,180,3030,1735,6130,140,3100,90,440
The University of Aberdeen,09 Mathematical sciences,160,0,0,0,0,0,760,290,1220,10,520,20,140
The University of Aberdeen,10 Engineering and technology,695,0,20,0,10,165,9425,6510,17715,700,8260,360,670
The University of Aberdeen,11 Computing,200,0,0,0,0,0,2085,1365,4705,160,2550,120,100
The University of Aberdeen,"13 Architecture, building and planning",20,0,0,0,0,0,555,435,1025,0,420,0,0
The University of Aberdeen,"26 Geography, earth and environmental studies (natural sciences)",610,0,0,40,0,155,5855,3360,10470,435,4650,370,680
The University of Aberdeen,15 Social sciences,1425,0,20,190,20,505,10305,4995,18400,785,8080,920,1395
The University of Aberdeen,16 Law,950,0,0,70,0,270,8765,5545,18380,500,9640,610,670
The University of Aberdeen,17 Business and management,1085,0,10,40,60,325,9060,5730,30900,665,21850,510,500
The University of Aberdeen,19 Language and area studies,620,0,0,60,0,210,4445,1740,8270,360,3860,755,570
The University of Aberdeen,"20 Historical, philosophical and religious studies",720,0,20,150,0,465,4920,2010,8580,290,3630,565,630
The University of Aberdeen,22 Education and teaching,820,0,0,0,10,665,15065,10485,25870,830,10830,1930,80
The University of Aberdeen,"24 Media, journalism and communications",0,0,0,40,0,0,580,280,1600,40,1060,80,0
The University of Aberdeen,"25 Design, and creative and performing arts",240,0,0,0,0,40,1545,590,2830,70,1230,350,200
The University of Aberdeen,"26 Geography, earth and environmental studies (social sciences)",40,0,0,0,0,0,730,370,1085,10,320,60,80
Abingdon and Witney College,10 Engineering and technology,40,0,0,0,0,0,400,280,800,0,480,0,0
Abertay University,02 Subjects allied to medicine,330,0,0,40,0,200,2795,1225,4925,15,2110,785,40
Abertay University,03 Biological and sport sciences,440,0,0,40,0,150,2900,1310,5655,40,2750,445,230
Abertay University,04 Psychology,480,0,0,60,0,200,2480,860,4945,210,2490,290,320
Abertay University,"06 Agriculture, food and related studies",100,0,0,0,0,35,1200,740,2205,0,1010,120,60
Abertay University,07 Physical sciences,0,0,0,0,0,0,530,320,920,20,410,60,40
Abertay University,10 Engineering and technology,20,0,0,0,0,0,1020,790,1855,20,760,20,0
Abertay University,11 Computing,600,0,0,20,0,160,6780,4235,12335,475,5600,895,155
Abertay University,15 Social sciences,360,0,0,0,0,80,2445,1200,4965,120,2480,300,240
Abertay University,16 Law,80,0,0,0,0,0,750,500,1930,20,1140,40,80
Abertay University,17 Business and management,420,0,0,0,0,50,3435,1975,6990,205,3540,240,240
Abertay University,22 Education and teaching,0,0,0,0,0,0,120,80,440,0,280,0,0
Abertay University,"25 Design, and creative and performing arts",370,0,0,40,0,190,3570,1790,6260,250,2640,640,120
Aberystwyth University,03 Biological and sport sciences,670,0,20,100,0,265,6040,2730,10250,380,4120,505,1240
Aberystwyth University,04 Psychology,420,0,0,20,0,160,2740,1215,4840,210,2100,200,370
Aberystwyth University,05 Veterinary sciences,20,0,0,0,0,0,280,80,380,0,80,0,120
Aberystwyth University,"06 Agriculture, food and related studies",315,0,0,80,0,135,3395,1980,5675,130,2260,350,340
Aberystwyth University,07 Physical sciences,160,0,0,0,0,60,2015,890,2995,140,990,220,440
Aberystwyth University,09 Mathematical sciences,210,0,0,0,0,40,1025,505,1705,120,690,20,200
Aberystwyth University,10 Engineering and technology,0,0,0,0,0,0,390,250,660,0,220,20,0
Aberystwyth University,11 Computing,420,0,0,0,0,160,3870,2370,6330,180,2540,170,430
Aberystwyth University,"26 Geography, earth and environmental studies (natural sciences)",300,0,0,0,0,140,3160,1705,4510,120,1440,240,520
Aberystwyth University,15 Social sciences,670,0,0,40,0,280,4740,1990,8435,380,3670,520,740
Aberystwyth University,16 Law,425,0,0,20,0,105,2255,810,4820,200,2580,60,430
Aberystwyth University,17 Business and management,440,0,0,0,0,140,2965,1600,6520,205,3550,210,260
Aberystwyth University,19 Language and area studies,680,0,0,20,0,200,4100,1525,7225,300,3200,740,490
Aberystwyth University,"20 Historical, philosophical and religious studies",380,0,0,50,0,210,2915,915,5100,270,2180,420,670
Aberystwyth University,22 Education and teaching,325,0,0,0,0,215,3515,2175,6920,60,3430,530,140
Aberystwyth University,"24 Media, journalism and communications",250,0,0,15,0,50,2985,1710,4895,115,1940,575,50
Aberystwyth University,"25 Design, and creative and performing arts",355,0,40,20,0,270,3580,1385,6260,320,2690,920,240
Aberystwyth University,"26 Geography, earth and environmental studies (social sciences)",200,0,0,0,0,50,1400,640,2255,90,830,70,280
Accrington and Rossendale College,02 Subjects allied to medicine,0,0,0,40,0,60,280,120,620,0,360,60,0
Accrington and Rossendale College,10 Engineering and technology,0,0,0,0,0,0,90,80,200,0,120,0,0
Accrington and Rossendale College,"13 Architecture, building and planning",0,0,0,0,0,0,40,40,80,0,40,0,0
Accrington and Rossendale College,15 Social sciences,0,0,0,0,0,0,80,80,220,0,120,0,0
Accrington and Rossendale College,22 Education and teaching,0,0,0,0,0,0,70,50,200,0,120,0,0
Accrington and Rossendale College,"25 Design, and creative and performing arts",0,0,0,0,0,0,20,0,80,0,80,0,0
Academy of Live and Recorded Arts,"25 Design, and creative and performing arts",40,0,0,20,0,20,1050,350,2070,40,1000,430,0
Activate Learning,02 Subjects allied to medicine,40,0,0,0,0,0,320,80,1000,0,680,80,0
Activate Learning,10 Engineering and technology,200,0,0,0,0,0,1110,930,2820,0,1660,0,0
