"UKPRN","Provider Name","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
10000055,"Abingdon and Witney College",0,15,25,50,0,15,0,15,0,0,0,0,0,70
10000093,"Accrington and Rossendale College",5,10,25,35,0,5,10,10,0,0,5,5,0,50
10000163,"AECC University College",10,275,10,300,5,0,0,10,0,0,0,5,0,320
10000216,"All Nations Christian College",0,15,5,25,0,0,0,0,0,0,0,0,0,30
10000248,"Academy of Live and Recorded Arts",0,10,40,45,5,0,5,20,5,0,15,20,0,85
10000291,"Anglia Ruskin University",1030,6610,2540,10180,960,160,1290,2410,595,145,500,1240,80,13915
10000381,"Arts Educational Schools",10,40,125,170,20,0,15,40,10,0,30,40,0,255
10000385,"The Arts University Bournemouth",65,570,880,1520,120,205,205,540,235,35,250,520,5,2590
10000415,"Askham Bryan College",30,45,90,160,10,40,85,135,50,0,40,100,0,400
10000473,"Aylesbury College",0,0,15,15,5,5,0,15,5,0,0,5,0,40
10000528,"Barking and Dagenham College",5,10,10,25,0,5,0,10,5,5,5,10,0,50
10000533,"Barnet & Southgate College",10,30,30,80,10,0,35,40,0,0,10,25,0,150
10000534,"Barnfield College",0,0,0,5,0,0,10,10,5,0,0,10,0,20
10000536,"Barnsley College",15,70,75,155,10,10,60,85,35,0,30,60,0,305
10000560,"Basingstoke College of Technology",0,35,20,65,0,20,0,20,0,0,0,0,0,90
10000571,"Bath Spa University",225,2570,1350,4140,395,110,445,960,420,50,350,820,25,5930
10000610,"Bedford College",30,155,140,330,25,75,40,135,65,10,60,145,10,625
10000654,"The Berkshire College of Agriculture (BCA)",0,0,0,0,0,0,0,0,0,0,0,5,0,10
10000670,"Bexhill College",0,0,0,0,0,0,5,5,0,0,0,0,0,5
10000712,"University College Birmingham",175,500,560,1225,265,260,535,1060,285,50,320,650,10,2955
10000720,"Bishop Auckland College",0,0,35,50,0,15,0,30,0,0,5,15,0,105
10000721,"Bishop Burton College",25,70,65,155,20,30,115,160,45,10,70,130,0,450
10000747,"Blackburn College",50,175,230,455,65,20,185,265,55,15,50,115,0,835
10000754,"Blackpool and the Fylde College",120,480,460,1055,90,115,225,425,75,35,100,205,10,1690
10000794,"Bolton College",5,10,15,30,0,0,0,10,0,0,5,5,0,45
10000812,"Boston College",10,65,50,120,15,0,65,90,25,5,10,45,0,260
10000820,"The Bournemouth and Poole College",0,75,35,130,0,10,5,15,25,0,20,55,0,200
10000824,"Bournemouth University",415,4990,2890,8305,705,155,505,1360,475,70,465,1015,40,10700
10000833,"Bracknell and Wokingham College",0,0,0,5,0,0,0,0,0,0,0,0,0,5
10000840,"Bradford College",40,395,165,600,35,35,85,160,70,15,30,120,0,880
10000878,"Bridgwater and Taunton College",60,195,130,380,25,55,50,125,35,0,45,85,0,595
10000886,"The University of Brighton",450,6475,2305,9230,625,165,535,1330,550,65,425,1040,35,11635
10000894,"Bristol Baptist College",0,30,10,40,0,0,0,5,0,0,0,0,0,50
