"UKPRN","HE Provider","Total income","Total expenditure","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
10000911,"BCNO Limited",10357,11072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001264,"Central School of Ballet",9647,10626,0,0,5,5,0,0,0,0,0,0,0,0,0,5
10001444,"National Centre for Circus Arts",5458,5583,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10002011,"Bird College",11236,10934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10002313,"ESCP Europe Business School",56667,59150,0,5,0,10,0,0,0,0,0,0,0,0,0,10
10002344,"European School of Osteopathy",8938,8653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10003284,"Inchbald School of Design Limited",4341,4891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004028,"The Place, London Contemporary Dance School (LCDS)",24437,23251,0,0,10,10,0,0,0,0,0,0,5,5,0,15
10005378,"Rambert School",9175,8809,0,0,15,15,0,0,0,0,0,0,0,5,0,15
10007765,"Heythrop College",18364,19373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007810,"Birmingham Christian College",1245,678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007832,"Birmingham Newman University",145952,140621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007833,"Wrexham University",253533,255632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10008574,"The University of Wales (central functions)",22151,32824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10020038,"Commonwealth College of Excellence",167,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10020118,"Higher Rhythm Limited",918,788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
