"UKPRN","HE Provider","Total income","Total expenditure","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
10000163,"AECC University College",65705,61749,10,275,10,300,5,0,0,10,0,0,0,5,0,320
10000216,"All Nations Christian College",8702,8064,0,15,5,25,0,0,0,0,0,0,0,0,0,30
10000248,"Academy of Live and Recorded Arts",8845,8798,0,10,40,45,5,0,5,20,5,0,15,20,0,85
10000291,"Anglia Ruskin University",1587418,1577480,1030,6610,2540,10180,960,160,1290,2410,595,145,500,1240,80,13915
10000381,"Arts Educational Schools",50612,47300,10,40,125,170,20,0,15,40,10,0,30,40,0,255
10000385,"The Arts University Bournemouth",271481,277421,65,570,880,1520,120,205,205,540,235,35,250,520,5,2590
10000571,"Bath Spa University",574711,579309,225,2570,1350,4140,395,110,445,960,420,50,350,820,25,5930
10000712,"University College Birmingham",350740,332667,175,500,560,1225,265,260,535,1060,285,50,320,650,10,2955
10000824,"Bournemouth University",1000864,1017013,415,4990,2890,8305,705,155,505,1360,475,70,465,1015,40,10700
10000886,"The University of Brighton",1215284,1268492,450,6475,2305,9230,625,165,535,1330,550,65,425,1040,35,11635
10000894,"Bristol Baptist College",3647,3784,0,30,10,40,0,0,0,5,0,0,0,0,0,50
10000936,"The University College of Osteopathy",32492,32271,20,275,5,305,0,0,0,5,0,0,0,0,0,315
10000961,"Brunel University London",1475335,1540736,355,3765,1525,5645,620,90,340,1060,470,60,240,765,35,7500
10000975,"Buckinghamshire New University",768456,751047,390,2925,1395,4715,330,115,555,1000,280,150,290,730,70,6515
10001143,"Canterbury Christ Church University",978408,981773,325,6050,1605,7990,440,85,785,1310,425,45,295,765,45,10100
10001282,"University of Northumbria at Newcastle",1802529,1791434,990,7940,3495,12425,935,180,710,1830,755,105,645,1510,80,15845
10001386,"Chicken Shed Theatre Company",22432,21228,0,5,30,30,0,0,20,25,5,0,15,25,0,85
10001419,"Christie's Education Limited",3280,8540,0,10,5,15,0,0,0,0,0,0,0,0,0,25
10001478,"City, University of London",1511287,1579699,710,6600,1705,9025,480,35,185,710,305,25,90,420,50,10200
10001546,"The College of Integrated Chinese Medicine",6445,5991,0,65,5,70,0,0,0,0,0,0,0,0,0,80
10001653,"Conservatoire for Dance and Drama",75219,74680,5,40,385,430,20,35,25,80,25,5,50,80,10,600
10001726,"Coventry University",2576440,2573469,875,8095,3600,12575,1180,215,825,2225,930,190,690,1815,100,16705
10001883,"De Montfort University",1467959,1418740,565,5090,3055,8710,1035,160,640,1835,950,125,610,1675,70,12285
10002681,"Glasgow School of Art",272368,299033,40,295,575,920,45,60,45,150,80,5,90,185,5,1250
10002718,"Goldsmiths College",794259,859125,220,2520,1485,4230,350,70,295,720,220,20,190,440,25,5410
10003212,"Hult International Business School Ltd",137400,113782,50,50,90,200,5,0,0,5,0,0,0,5,0,215
10003239,"ICON College of Technology and Management",40634,37546,65,30,45,125,55,70,115,245,55,60,125,240,10,625
10003270,"Imperial College of Science, Technology and Medicine",6644451,6591299,655,8680,1245,10585,90,40,45,175,45,5,40,105,40,10895
10003324,"The Institute of Cancer Research",881008,782255,0,140,5,145,0,0,0,0,0,0,0,0,0,145
10003331,"Regent's University London",90170,88306,30,70,90,185,15,0,5,15,20,0,10,25,0,235
10003614,"The University of Winchester",496657,494479,245,3025,1210,4490,505,55,565,1130,395,35,370,800,30,6440
10003645,"King's College London",6086917,6262841,1125,12355,3080,16555,680,65,390,1130,300,25,205,545,75,18300
10003678,"Kingston University",1220619,1265773,470,4480,2145,7100,595,240,585,1420,580,110,345,1030,40,9585
10003758,"LAMDA Limited",76910,77626,0,5,95,110,5,10,5,30,0,0,10,15,0,150
10003798,"Le Cordon Bleu Limited",43010,46292,15,15,5,35,0,110,0,115,0,0,0,10,0,155
10003854,"Leeds Arts University",139022,123077,60,290,450,800,100,50,60,205,185,20,145,355,5,1365
10003861,"Leeds Beckett University",1350154,1403075,775,5670,3550,9995,950,245,845,2045,895,100,665,1645,55,13750
10003863,"Leeds Trinity University",266500,247518,110,1710,735,2545,185,35,330,550,165,35,130,325,5,3440
10003945,"The Liverpool Institute for Performing Arts",74168,68689,25,70,360,460,30,30,60,110,40,5,65,105,0,685
10003956,"Liverpool Hope University",326861,306589,105,2250,620,2990,305,35,450,795,280,25,205,500,0,4290
10003957,"Liverpool John Moores University",1458299,1378487,725,8950,3320,13015,1090,205,815,2110,980,125,760,1860,65,17045
10003958,"Liverpool School of Tropical Medicine",1248026,1237343,0,370,25,395,0,0,0,5,0,0,0,0,0,405
10004035,"The Film Education Training Trust Limited",13507,12565,0,0,30,30,0,0,0,5,0,0,0,0,0,40
10004036,"London Film School Limited",26312,26302,0,0,25,25,0,0,0,0,0,0,0,0,0,30
10004048,"London Metropolitan University",662876,694165,270,1570,1125,2970,340,75,450,865,275,60,205,530,40,4395
10004061,"Bloomsbury Institute",48390,52531,60,45,60,170,65,10,45,120,30,20,45,100,0,400
10004063,"London School of Economics and Political Science",2509628,2312829,420,4820,1330,6570,220,0,30,255,55,0,40,110,50,6975
10004075,"London School of Theology",17213,18469,5,60,55,130,0,0,0,15,0,0,5,5,0,150
10004078,"London South Bank University",1110728,1100336,660,5880,1505,8055,490,170,445,1110,360,110,315,785,55,10005
10004079,"London Studio Centre",27745,27376,0,5,105,125,15,0,20,45,20,0,15,50,0,210
10004113,"Loughborough University",1967967,1963806,585,6205,3025,9820,525,130,225,875,270,60,275,600,40,11325
10004180,"The Manchester Metropolitan University",2192352,2151622,1130,9860,5835,16815,1800,295,1155,3245,1510,120,1035,2665,90,22820
10004320,"The Metanoia Institute",22339,21763,5,85,50,140,0,0,5,5,0,0,0,0,0,145
10004351,"Middlesex University",1229614,1257975,415,3615,1900,5915,520,75,490,1075,465,65,260,790,45,7830
10004450,"Mountview Academy of Theatre Arts",37458,41745,15,45,200,265,15,10,30,50,10,0,55,65,0,385
10004511,"The National Film and Television School",104495,101366,35,130,420,580,40,30,5,75,0,0,5,10,0,670
10004538,"Nazarene Theological College",9236,8634,5,50,35,95,5,0,0,5,0,0,0,0,0,110
10004740,"Northern College of Acupuncture",6431,6458,0,70,5,80,0,0,0,5,0,0,0,0,0,85
10004775,"Norwich University of the Arts",157871,129897,55,470,495,1010,90,60,80,235,240,10,150,405,0,1645
10004797,"The Nottingham Trent University",2150005,2096456,1070,8950,6765,16795,1865,455,1465,3790,1470,180,1175,2815,100,23485
10004930,"Oxford Brookes University",1263369,1307039,685,5640,2655,8970,685,210,575,1475,435,55,350,845,45,11315
10005127,"Arts University Plymouth",87262,94589,45,130,215,390,50,40,60,150,125,25,110,260,0,795
10005337,"Queen Margaret University, Edinburgh",260454,274445,130,1690,545,2365,165,35,150,355,170,15,150,335,0,3050
10005343,"Queen's University Belfast",2403135,2428373,370,9925,2130,12430,650,110,415,1170,495,45,325,875,60,14525
10005389,"Ravensbourne University London",177823,177930,75,330,640,1035,85,50,60,200,155,5,90,255,5,1520
10005451,"Arden University",341304,283640,185,315,255,770,110,35,195,345,45,30,55,140,20,1265
10005470,"Richmond, The American International University in London",134937,155611,20,25,40,85,10,0,5,30,5,0,10,15,0,145
10005500,"Robert Gordon University",625485,654789,475,4325,1385,6180,505,120,320,940,300,50,255,600,25,7760
10005523,"Rose Bruford College of Theatre and Performance",66542,68869,25,75,270,355,15,35,50,95,20,10,65,90,0,555
10005544,"Royal Academy of Dance",124693,124655,0,60,65,140,0,0,5,5,0,0,0,0,0,150
10005545,"Royal Agricultural University",118570,118685,185,365,245,795,75,65,70,195,40,25,130,190,15,1195
10005553,"Royal Holloway and Bedford New College",1158510,1184687,260,3130,1755,5145,615,45,330,990,350,20,245,615,30,6780
10005561,"Royal Conservatoire of Scotland",152625,153024,20,295,290,600,15,25,30,75,25,10,35,60,0,745
10005700,"SRUC",503109,512178,130,180,195,500,70,310,160,540,120,40,235,390,0,1425
10005790,"Sheffield Hallam University",1798284,1859394,850,11710,3915,16465,1125,360,995,2480,920,155,815,1890,75,20905
10006022,"Solent University",659187,662516,390,1500,1790,3680,390,155,390,930,510,90,410,1010,35,5665
10006093,"Spurgeon's College",7827,12203,0,105,30,140,0,0,5,10,0,0,0,0,0,155
10006299,"Staffordshire University",810730,765636,600,4940,2800,8330,465,300,715,1470,505,90,525,1120,85,11000
10006427,"University for the Creative Arts",499111,497890,125,610,955,1705,225,120,195,535,395,50,285,735,15,3000
10006566,"The University of West London",856125,772266,400,2535,1345,4280,465,135,435,1050,315,100,305,715,60,6100
10006840,"The University of Birmingham",4748042,4892612,1345,13800,3860,19005,1105,110,570,1780,525,55,450,1025,80,21895
10006841,"The University of Bolton",600260,612345,145,1805,805,2765,155,80,425,660,165,40,165,375,20,3815
10006842,"The University of Liverpool",3585467,3679201,510,7545,2945,11005,1055,125,445,1625,625,50,605,1280,65,13965
10007114,"University of the Highlands and Islands",855092,873982,380,2090,1395,3865,495,430,765,1695,450,100,495,1055,30,6640
10007137,"The University of Chichester",356403,365286,200,1905,1080,3185,230,75,405,710,260,40,245,545,20,4455
10007138,"The University of Northampton",840471,898937,365,3860,1440,5665,510,100,720,1320,390,75,280,745,40,7780
10007139,"University of Worcester",571999,573365,250,4360,1560,6180,320,55,850,1225,295,35,270,595,30,8025
10007140,"Birmingham City University",1614114,1557864,620,8920,3360,12895,1090,245,765,2105,1075,130,700,1915,85,16990
10007141,"The University of Central Lancashire",1541233,1561757,500,6145,2700,9340,650,200,690,1540,735,85,535,1350,35,12265
10007143,"University of Durham",2471275,2502017,395,6320,2200,8920,590,50,265,900,205,25,280,510,50,10375
10007144,"The University of East London",1049613,1078646,450,3255,1830,5540,495,110,720,1320,390,110,325,830,55,7750
10007145,"University of Gloucestershire",496043,500725,380,2925,1780,5085,455,100,535,1105,455,55,405,905,30,7125
10007146,"The University of Greenwich",1437728,1383864,540,5870,2200,8610,765,140,575,1485,570,85,360,1005,45,11150
10007147,"University of Hertfordshire",1833356,1804062,685,8000,2680,11355,975,235,755,1960,795,145,460,1410,80,14815
10007148,"The University of Huddersfield",1070032,1066778,385,5660,2285,8330,725,170,675,1575,665,100,445,1210,50,11165
10007149,"The University of Hull",1170455,1214555,355,4510,1600,6475,550,130,595,1265,525,70,425,1020,40,8795
10007150,"The University of Kent",1576444,1678787,405,4100,2690,7195,1020,110,590,1710,625,65,475,1155,55,10120
10007151,"The University of Lincoln",1159843,1117270,750,4395,2755,7890,940,195,770,1910,795,90,730,1600,70,11465
10007152,"University of Bedfordshire",829496,783023,325,3355,1135,4810,420,80,790,1290,305,100,345,750,45,6895
10007154,"University of Nottingham",4396517,4415731,620,13605,4060,18280,1070,130,640,1835,585,85,590,1270,95,21480
10007155,"The University of Portsmouth",1665801,1639551,1010,7245,4245,12495,1155,270,910,2350,905,135,780,1810,115,16775
10007156,"The University of Salford",1372503,1345766,665,6830,2820,10315,815,195,730,1745,770,110,645,1530,55,13640
10007157,"The University of Sheffield",4598372,4461038,455,9950,3115,13515,900,125,445,1480,475,55,455,980,45,16015
10007158,"The University of Southampton",3707353,3623715,445,9250,2420,12125,725,100,420,1245,435,50,350,825,50,14245
10007159,"The University of Sunderland",1018397,1043686,520,4485,1655,6660,535,195,1070,1795,605,195,540,1335,75,9870
10007160,"The University of Surrey",1849365,1918359,370,5625,1985,7975,495,65,250,795,260,30,180,480,40,9295
10007161,"Teesside University",986568,959978,460,6180,2045,8675,390,465,825,1685,460,165,440,1070,55,11475
10007162,"University of the Arts, London",2121128,2037487,420,1850,2740,5015,455,285,290,1030,565,60,355,975,45,7060
10007163,"The University of Warwick",4321965,4128413,1135,10730,3010,14880,595,55,295,940,285,25,220,525,75,16420
10007164,"University of the West of England, Bristol",1953405,1905731,810,9490,3990,14270,1065,270,705,2040,715,115,660,1480,80,17875
10007165,"The University of Westminster",1351061,1262444,690,3705,2790,7175,980,110,440,1525,770,60,355,1195,60,9960
10007166,"The University of Wolverhampton",1097234,1133459,440,5570,1615,7635,470,130,815,1425,500,80,380,980,60,10090
10007167,"The University of York",2540322,2660050,395,6740,2595,9730,895,105,520,1525,455,55,410,920,50,12235
10007361,"Waverley Abbey College",16454,17194,5,45,95,140,0,0,0,10,0,0,0,0,0,155
10007657,"Writtle University College",99779,115186,35,190,85,315,50,30,125,210,50,0,40,85,0,600
10007713,"York St John University",441192,438625,190,1775,890,2860,325,75,400,790,385,25,315,720,20,4390
10007759,"Aston University",1073671,1079339,570,4070,1800,6445,550,60,160,755,315,50,150,505,45,7755
10007760,"Birkbeck College",659440,677402,700,2740,1585,5035,510,60,270,840,160,40,130,335,50,6260
10007761,"Courtauld Institute of Art",175077,146427,20,145,115,275,70,0,20,90,20,0,5,30,0,400
10007762,"Glasgow Caledonian University",835617,856994,445,6120,1585,8150,620,120,345,1090,555,90,325,970,35,10240
10007764,"Heriot-Watt University",1468001,1529417,265,2760,945,3975,270,75,90,420,235,85,170,490,15,4900
10007767,"Keele University",1052101,1054492,185,3895,1050,5130,450,35,300,785,310,40,240,595,5,6520
10007768,"The University of Lancaster",1996379,1956641,405,4250,1785,6445,540,55,265,860,270,15,270,560,40,7920
10007769,"London Business School",1023722,1013670,350,755,185,1285,0,0,0,0,5,0,0,5,15,1310
10007771,"London School of Hygiene and Tropical Medicine",1505834,1506623,35,770,95,885,5,0,0,10,0,0,0,0,0,900
10007772,"Edinburgh Napier University",817275,834759,385,3745,1710,5830,465,135,355,950,400,65,325,800,40,7610
10007773,"The Open University",3024771,3263087,2620,9710,5570,17910,2140,505,2125,4770,700,260,460,1430,135,24240
10007774,"The University of Oxford",15372798,14718881,780,8315,1700,10800,300,35,160,495,100,5,110,215,65,11565
10007775,"Queen Mary University of London",3307854,3144782,390,6935,2225,9545,805,75,330,1210,495,55,250,800,65,11630
10007776,"Roehampton University",832081,844047,335,2210,1075,3620,465,100,540,1120,400,110,320,830,50,5615
10007777,"Royal College of Art",477621,404777,100,385,490,970,5,30,20,70,20,0,25,50,0,1090
10007778,"Royal College of Music",191401,174033,5,160,195,360,15,0,5,25,0,0,5,10,0,400
10007779,"The Royal Veterinary College",646873,614763,20,1110,255,1385,20,10,50,80,5,0,20,30,0,1505
10007780,"SOAS University of London",561445,575558,145,1065,705,1910,220,10,50,275,95,5,65,170,20,2380
10007782,"St George's, University of London",531995,544470,20,2115,210,2345,30,0,80,110,35,0,20,60,5,2525
10007783,"The University of Aberdeen",1447219,1501565,230,4740,1150,6105,380,70,285,725,310,25,270,620,25,7485
10007784,"University College London",9811510,9576812,855,17080,3765,21695,690,80,415,1175,285,30,200,510,115,23495
10007785,"The University of Bradford",774508,810231,235,2900,625,3750,295,35,315,640,225,30,125,370,30,4790
10007786,"The University of Bristol",4640775,4593310,485,9620,3140,13240,835,135,485,1440,375,40,470,875,75,15630
10007787,"The University of Buckingham",173568,170977,110,2225,210,2540,75,0,50,125,20,5,25,55,5,2720
10007788,"The University of Cambridge",13164894,12899945,820,9185,1755,11755,310,25,130,465,65,0,115,175,60,12460
10007789,"The University of East Anglia",1925516,1970222,355,7190,2205,9760,710,85,435,1225,460,60,375,895,40,11910
10007790,"The University of Edinburgh",7080714,6803271,470,9405,2730,12605,620,120,365,1110,355,40,395,800,45,14550
10007791,"The University of Essex",1598042,1627088,380,4155,2015,6550,780,85,505,1385,465,55,390,905,40,8880
10007792,"The University of Exeter",3054488,3142820,775,9430,3435,13645,905,130,450,1495,440,60,475,960,75,16180
10007793,"University of South Wales",1234475,1210221,670,5400,3165,9240,670,385,1080,2135,615,130,605,1355,60,12785
10007794,"The University of Glasgow",4703271,4491772,320,9210,2095,11625,745,100,440,1285,525,55,550,1135,50,14085
10007795,"The University of Leeds",4969392,5002632,605,10745,4470,15825,1125,140,565,1830,540,60,580,1170,65,18885
10007796,"The University of Leicester",2012912,2067555,390,4620,1645,6645,700,45,385,1130,430,45,330,810,35,8625
10007797,"University of London (Institutes and activities)",1051237,1098106,85,270,60,415,15,10,10,40,0,0,0,0,0,455
10007798,"The University of Manchester",6883358,6762678,725,13480,3765,17975,1055,150,510,1710,500,45,535,1080,95,20855
10007799,"Newcastle University",3329210,3350927,525,9340,3280,13145,930,145,440,1515,580,60,605,1240,60,15950
10007800,"The University of the West of Scotland",805209,805855,285,4435,1645,6365,605,105,640,1355,525,70,360,965,45,8725
10007801,"University of Plymouth",1470020,1459830,440,7385,2295,10120,585,195,650,1430,615,110,595,1315,25,12885
10007802,"The University of Reading",1918312,2100706,855,7515,2455,10835,625,95,445,1175,365,30,320,705,50,12765
10007803,"The University of St. Andrews",1697497,1632556,130,2150,770,3060,220,25,115,345,110,5,105,225,15,3660
10007804,"The University of Stirling",817863,821460,285,3300,1250,4835,495,80,390,970,370,45,245,665,40,6505
10007805,"The University of Strathclyde",2198011,2287038,600,9930,2625,13155,675,135,330,1135,490,85,360,940,45,15275
10007806,"The University of Sussex",1984001,1935991,365,4570,2430,7365,755,120,525,1410,410,35,395,845,40,9655
10007807,"Ulster University",1423034,1438715,845,9360,3050,13250,1065,245,820,2120,770,125,450,1340,70,16795
10007811,"Bishop Grosseteste University",137502,153397,50,1625,290,1960,70,15,360,445,70,10,65,150,0,2555
10007814,"Cardiff University",3507730,3602454,535,11590,3060,15185,970,115,485,1570,500,50,495,1050,65,17860
10007816,"The Royal Central School of Speech and Drama",122126,121727,65,260,445,760,55,45,65,155,35,0,50,90,5,1025
10007822,"Cranfield University",1139854,1232539,585,1340,400,2330,30,15,5,60,25,0,15,35,10,2445
10007823,"Edge Hill University",776268,751643,215,5255,1240,6700,495,95,720,1305,485,45,400,935,25,8965
10007825,"Guildhall School of Music and Drama",200009,206379,25,260,375,660,20,20,30,70,0,0,30,30,0,760
10007835,"Royal Academy of Music",181002,153096,15,165,240,425,5,0,0,10,0,0,10,20,0,455
10007837,"Royal Northern College of Music",147878,143420,5,190,245,445,15,5,25,40,10,0,25,45,0,530
10007839,"SAE Education Limited",36651,44013,20,75,190,285,30,20,20,65,45,5,40,100,0,455
10007842,"University of Cumbria",380757,396836,220,4395,795,5400,135,80,325,555,220,55,220,485,20,6465
10007843,"St Mary's University, Twickenham",320269,327451,155,2270,675,3095,155,45,280,475,135,15,135,280,10,3870
10007848,"University of Chester",772278,783915,480,4940,1790,7205,605,110,790,1500,545,50,450,1045,25,9775
10007849,"Abertay University",219669,224954,105,950,525,1590,185,40,150,380,190,25,150,375,0,2345
10007850,"The University of Bath",1909726,1986766,405,6995,2290,9695,305,60,175,540,135,35,150,320,35,10590
10007851,"University of Derby",1173385,1202508,740,6865,2840,10450,670,265,925,1870,635,150,525,1310,60,13680
10007852,"The University of Dundee",1650254,1733806,240,6515,1280,8030,415,70,340,830,305,40,305,655,35,9560
10007854,"Cardiff Metropolitan University",730363,720321,310,2790,1520,4620,360,100,490,950,315,50,280,645,30,6225
10007855,"Swansea University",2121579,2106427,410,6595,2180,9180,805,160,585,1550,580,85,550,1215,45,12000
10007856,"Aberystwyth University",717001,783897,145,1420,800,2360,385,105,325,810,325,35,350,720,20,3910
10007857,"Bangor University",953592,975925,170,2560,890,3625,350,145,480,975,365,45,370,770,20,5400
10007858,"University of Wales Trinity Saint David",953347,998909,490,2445,1430,4370,440,360,950,1745,450,295,565,1315,55,7495
10007912,"Cliff College",10985,12460,0,65,50,110,0,0,5,15,0,0,0,0,0,140
10008010,"Stranmillis University College",74862,77791,5,595,55,660,15,0,190,200,25,0,20,40,0,905
10008017,"Trinity Laban Conservatoire of Music and Dance",165539,166547,25,270,285,585,35,0,35,80,20,0,45,70,0,745
10008026,"St Mary's University College",56879,54852,0,355,15,375,15,0,25,40,15,0,10,25,0,445
10008071,"AA School of Architecture",127927,112472,0,110,175,285,0,0,0,0,0,0,0,0,0,285
10008098,"Study Group",696235,704837,0,15,20,40,5,0,0,15,5,0,15,30,10,95
10008173,"University College of Estate Management",96629,96973,300,1260,230,1795,25,15,0,40,0,0,10,15,0,1850
10008289,"The London Institute of Banking & Finance",86584,89726,40,60,55,145,15,0,0,25,0,0,0,0,0,175
10008325,"KLC School of Design",11434,11645,15,10,95,120,0,0,0,0,0,0,0,5,0,135
10008362,"London School of Science and Technology Limited",110208,72290,30,25,25,85,30,15,50,90,20,65,65,140,5,320
10008397,"Norland College",29297,27418,0,0,0,0,0,0,305,305,0,0,0,0,0,310
10008455,"Regent College London",160064,129114,110,25,50,185,95,65,120,295,55,75,105,250,10,735
10008640,"Falmouth University",384454,384793,215,975,1510,2700,265,150,220,635,400,55,425,875,15,4220
10008816,"Northern School of Contemporary Dance",13177,12279,0,0,15,15,5,0,0,5,0,0,5,5,0,25
10008899,"The Ashridge (Bonar Law Memorial) Trust",66904,70899,45,20,15,75,0,0,0,0,0,0,0,0,0,75
10009292,"Royal Academy of Dramatic Art",76283,85940,0,5,90,100,0,15,5,15,5,0,10,10,0,140
10009527,"Istituto Marangoni Limited",105436,63170,10,20,60,95,20,0,0,20,15,0,0,15,0,135
10009612,"Luther King House Educational Trust",5540,5883,5,30,5,55,0,0,0,0,0,0,0,0,0,65
10010213,"The City College",3697,4167,5,45,5,65,15,0,25,35,0,0,10,15,0,120
10010227,"Oak Hill College",34841,33694,0,50,10,55,0,0,0,0,0,0,0,0,0,60
10010308,"Cambridge Arts and Sciences Limited",115779,109869,0,10,10,15,0,0,0,5,10,0,0,15,0,45
10013109,"London Bridge Business Academy",6302,3308,0,0,5,10,0,0,10,25,5,10,30,40,0,85
10013220,"Institute of Art - London Limited",34008,36674,10,5,15,35,5,0,0,5,0,0,0,0,0,50
10014001,"University of Suffolk",544493,501221,215,1795,815,2830,155,100,330,580,130,55,160,340,25,3770
10015506,"The London College",40207,26366,105,85,85,265,50,170,80,305,35,175,145,365,20,955
