"UKPRN","cluster","total"
10000163,1,320
10000216,1,30
10000248,3,85
10000291,1,13915
10000381,3,255
10000385,3,2590
10000571,3,5930
10000712,2,2955
10000824,1,10700
10000886,1,11635
10000894,1,50
10000936,1,315
10000961,1,7500
10000975,1,6515
10001143,1,10100
10001282,1,15845
10001386,2,85
10001419,1,25
10001478,1,10200
10001546,1,80
10001653,1,600
10001726,1,16705
10001883,1,12285
10002681,1,1250
10002718,1,5410
10003212,1,215
10003239,2,625
10003270,1,10895
10003324,1,145
10003331,1,235
10003614,3,6440
10003645,1,18300
10003678,1,9585
10003758,1,150
10003798,2,155
10003854,3,1365
10003861,1,13750
10003863,1,3440
10003945,3,685
10003956,3,4290
10003957,1,17045
10003958,1,405
10004035,1,40
10004036,1,30
10004048,3,4395
10004061,2,400
10004063,1,6975
10004075,1,150
10004078,1,10005
10004079,3,210
10004113,1,11325
10004180,1,22820
10004320,1,145
10004351,1,7830
10004450,3,385
10004511,1,670
10004538,1,110
10004740,1,85
10004775,3,1645
10004797,1,23485
10004930,1,11315
10005127,3,795
10005337,1,3050
10005343,1,14525
10005389,3,1520
10005451,3,1265
10005470,3,145
10005500,1,7760
10005523,3,555
10005544,1,150
10005545,3,1195
10005553,1,6780
10005561,1,745
10005700,2,1425
10005790,1,20905
10006022,3,5665
10006093,1,155
10006299,1,11000
10006427,3,3000
10006566,3,6100
10006840,1,21895
10006841,1,3815
10006842,1,13965
10007114,3,6640
10007137,1,4455
10007138,1,7780
10007139,1,8025
10007140,1,16990
10007141,1,12265
10007143,1,10375
10007144,1,7750
10007145,1,7125
10007146,1,11150
10007147,1,14815
10007148,1,11165
10007149,1,8795
10007150,1,10120
10007151,3,11465
10007152,3,6895
10007154,1,21480
10007155,1,16775
10007156,1,13640
10007157,1,16015
10007158,1,14245
10007159,3,9870
10007160,1,9295
10007161,1,11475
10007162,1,7060
10007163,1,16420
10007164,1,17875
10007165,1,9960
10007166,1,10090
10007167,1,12235
10007361,1,155
10007657,3,600
10007713,3,4390
10007759,1,7755
10007760,1,6260
10007761,3,400
10007762,1,10240
10007764,1,4900
10007767,1,6520
10007768,1,7920
10007769,1,1310
10007771,1,900
10007772,1,7610
10007773,1,24240
10007774,1,11565
10007775,1,11630
10007776,3,5615
10007777,1,1090
10007778,1,400
10007779,1,1505
10007780,1,2380
10007782,1,2525
10007783,1,7485
10007784,1,23495
10007785,1,4790
10007786,1,15630
10007787,1,2720
10007788,1,12460
10007789,1,11910
10007790,1,14550
10007791,1,8880
10007792,1,16180
10007793,1,12785
10007794,1,14085
10007795,1,18885
10007796,1,8625
10007797,1,455
10007798,1,20855
10007799,1,15950
10007800,1,8725
10007801,1,12885
10007802,1,12765
10007803,1,3660
10007804,1,6505
10007805,1,15275
10007806,1,9655
10007807,1,16795
10007811,1,2555
10007814,1,17860
10007816,1,1025
10007822,1,2445
10007823,1,8965
10007825,1,760
10007835,1,455
10007837,1,530
10007839,3,455
10007842,1,6465
10007843,1,3870
10007848,1,9775
10007849,3,2345
10007850,1,10590
10007851,1,13680
10007852,1,9560
10007854,1,6225
10007855,1,12000
10007856,3,3910
10007857,3,5400
10007858,3,7495
10007912,1,140
10008010,1,905
10008017,1,745
10008026,1,445
10008071,1,285
10008098,2,95
10008173,1,1850
10008289,1,175
10008325,1,135
10008362,2,320
10008397,2,310
10008455,2,735
10008640,3,4220
10008816,3,25
10008899,1,75
10009292,1,140
10009527,1,135
10009612,1,65
10010213,3,120
10010227,1,60
10010308,2,45
10013109,2,85
10013220,1,50
10014001,1,3770
10015506,2,955
10015688,2,105
10019178,1,195
10019368,2,20
10020416,1,30
10021100,1,135
10021256,1,55
10021682,1,375
10022047,2,165
10022087,3,280
10022285,2,490
10023434,2,55
10023452,1,65
10023453,1,40
10023454,1,240
10023456,1,35
10023458,1,150
10023464,1,185
10023777,2,665
10024024,1,20
10025197,1,40
10026767,1,25
10026921,2,35
10028216,2,80
10030129,2,525
10030391,2,260
10030776,1,335
10031982,1,6980
10032036,2,20
10032072,1,95
10032277,1,110
10032282,1,60
10032288,1,95
10032594,3,205
10033187,2,115
10034324,2,25
10034449,3,735
10035638,3,515
10037449,1,2335
10037544,3,2480
10039082,1,135
10039956,1,8550
10040812,1,2735
10041898,2,30
10042500,2,380
10045289,1,25
10045476,1,290
10055902,1,220
10062759,2,50
10062810,1,75
10066502,1,50
10067853,3,380
10068157,3,245
10080811,3,1130
10081618,1,90
10082570,2,20
10086591,1,115
10000055,1,70
10000093,3,50
10000415,2,400
10000473,2,40
10000528,3,50
10000533,3,150
10000534,2,20
10000536,3,305
10000560,1,90
10000610,3,625
10000720,3,105
10000721,2,450
10000747,3,835
10000754,3,1690
10000794,3,45
10000812,3,260
10000820,3,200
10000840,3,880
10000878,3,595
10000944,1,75
10000948,3,130
10000952,3,190
10001000,3,365
10001004,3,45
10001005,2,200
10001093,3,160
10001116,3,230
10001165,1,25
10001378,3,245
10001465,1,185
10001467,3,325
10001475,3,425
10001476,1,185
10001503,2,430
10001535,3,655
10001696,3,740
10001743,2,185
10001778,3,160
10001919,3,340
10002061,2,235
10002107,1,115
10002126,3,90
10002130,3,225
10002370,3,390
10002412,3,355
10002599,1,280
10002638,3,245
10002696,3,255
10002743,2,95
10002815,3,85
10002852,2,155
10002863,3,305
10002899,3,65
10002919,3,210
10002923,3,320
10002935,1,140
10003010,3,65
10003022,2,285
10003023,3,105
10003035,3,100
10003128,3,180
10003146,2,50
10003189,3,160
10003193,3,255
10003200,3,440
10003558,3,115
10003564,3,20
10003566,2,130
10003674,3,505
10003676,2,60
10003753,3,255
10003855,1,550
10003867,2,555
10003928,3,415
10003955,3,415
10004112,3,660
10004144,3,80
10004340,1,295
10004344,3,475
10004375,2,325
10004432,3,45
10004442,3,120
10004478,3,665
10004552,3,250
10004576,3,1080
10004577,3,405
10004579,2,395
10004596,1,130
10004599,3,1805
10004603,2,215
10004607,2,50
10004676,3,285
10004686,3,490
